voice_location,label
data/wav/fake_voice/fake4_6.wav,0
data/wav/fake_voice/fake1_4.wav,0
data/wav/fake_voice/fake4_7.wav,0
data/wav/real_voice/speaker2_7.wav,1
data/wav/real_voice/speaker1_10.wav,1
data/wav/real_voice/speaker5_1.wav,1
data/wav/real_voice/speaker2_4.wav,1
data/wav/fake_voice/fake2_5.wav,0
data/wav/real_voice/speaker1_9.wav,1
data/wav/real_voice/speaker5_7.wav,1
data/wav/real_voice/speaker4_9.wav,1
data/wav/real_voice/speaker3_4.wav,1
data/wav/fake_voice/fake3_10.wav,0
data/wav/real_voice/speaker3_6.wav,1
data/wav/fake_voice/fake2_4.wav,0
data/wav/real_voice/speaker4_1.wav,1
data/wav/fake_voice/fake4_10.wav,0
data/wav/fake_voice/fake1_5.wav,0
data/wav/real_voice/speaker5_9.wav,1
data/wav/real_voice/speaker4_5.wav,1
data/wav/fake_voice/fake1_1.wav,0
data/wav/fake_voice/fake3_7.wav,0
data/wav/real_voice/speaker3_2.wav,1
data/wav/real_voice/speaker2_3.wav,1
data/wav/fake_voice/fake3_1.wav,0
data/wav/real_voice/speaker3_8.wav,1
data/wav/real_voice/speaker2_5.wav,1
data/wav/fake_voice/fake1_2.wav,0
data/wav/real_voice/speaker2_6.wav,1
data/wav/fake_voice/fake2_7.wav,0
data/wav/real_voice/speaker2_1.wav,1
data/wav/real_voice/speaker5_3.wav,1
data/wav/fake_voice/fake2_2.wav,0
data/wav/real_voice/speaker4_6.wav,1
data/wav/fake_voice/fake4_5.wav,0
data/wav/real_voice/speaker4_8.wav,1
data/wav/fake_voice/fake5_6.wav,0
data/wav/fake_voice/fake2_9.wav,0
data/wav/real_voice/speaker2_2.wav,1
data/wav/real_voice/speaker3_5.wav,1
data/wav/real_voice/speaker5_5.wav,1
data/wav/real_voice/speaker1_3.wav,1
data/wav/real_voice/speaker2_8.wav,1
data/wav/fake_voice/fake4_3.wav,0
data/wav/real_voice/speaker1_4.wav,1
data/wav/real_voice/speaker1_6.wav,1
data/wav/fake_voice/fake3_4.wav,0
data/wav/real_voice/speaker1_2.wav,1
data/wav/fake_voice/fake4_8.wav,0
data/wav/real_voice/speaker4_3.wav,1
